Date,Time,Ingredient,Detail,-,Nutrient,NIR_Value,Unit,-,-,MDI,Nutrient,NIR_Value,Unit,-,-,MDI,Nutrient,NIR_Value,Unit,-,-,MDI,Nutrient,NIR_Value,Unit,-,-,MDI,Nutrient,NIR_Value,Unit,-,-,MDI,Nutrient,NIR_Value,Unit,-,-,MDI,Nutrient,NIR_Value,Unit,-,-,MDI,Nutrient,NIR_Value,Unit,-,-,MDI
1/12/2025,10:14:13,CORN-FINE GROUND,Numero da amostra:4462,Quant,Moi,12.61,%,0.00188,0.02200,0.08526,CP,7.84,%,0.00151,0.02000,0.07548,Fat,3.33,%,0.00206,0.02400,0.08583,Ash,1.18,%,0.00199,0.02100,0.09485,cADF,2.72,%,0.00313,0.03600,0.08685,cNDF,9.20,%,0.00211,0.03200,0.06604,Fiber,2.28,%,0.00336,0.04000,0.08394,cStarch,71.50,%,0.00702,0.08200,0.08561
1/12/2025,10:16:43,CORN-FINE GROUND,Numero da amostra:4463,Quant,Moi,12.83,%,0.00461,0.02200,0.20969,CP,7.53,%,0.00300,0.02000,0.14976,Fat,3.04,%,0.00403,0.02400,0.16804,Ash,1.09,%,0.00354,0.02100,0.16871,cADF,2.85,%,0.00598,0.03600,0.16601,cNDF,9.96,%,0.00427,0.03200,0.13358,Fiber,2.46,%,0.00745,0.04000,0.18626,cStarch,71.83,%,0.01637,0.08200,0.19960
1/12/2025,10:18:00,CORN-FINE GROUND,Numero da amostra:4464,Quant,Moi,13.63,%,0.00209,0.02200,0.09477,CP,7.55,%,0.00193,0.02000,0.09651,Fat,3.20,%,0.00258,0.02400,0.10762,Ash,1.09,%,0.00243,0.02100,0.11571,cADF,2.69,%,0.00393,0.03600,0.10917,cNDF,9.26,%,0.00220,0.03200,0.06884,Fiber,2.34,%,0.00466,0.04000,0.11646,cStarch,71.49,%,0.00907,0.08200,0.11062
1/12/2025,10:29:28,CORN-FINE GROUND,Numero da amostra:4465,Quant,Moi,13.32,%,0.00362,0.02200,0.16461,CP,7.42,%,0.00241,0.02000,0.12050,Fat,2.77,%,0.00336,0.02400,0.14004,Ash,1.12,%,0.00349,0.02100,0.16640,cADF,2.69,%,0.00475,0.03600,0.13204,cNDF,9.38,%,0.00354,0.03200,0.11065,Fiber,2.35,%,0.00552,0.04000,0.13798,cStarch,71.88,%,0.01235,0.08200,0.15056
1/12/2025,10:33:20,CORN-FINE GROUND,Numero da amostra:4466,Quant,Moi,12.88,%,0.00366,0.02200,0.16626,CP,7.49,%,0.00251,0.02000,0.12540,Fat,2.79,%,0.00341,0.02400,0.14214,Ash,1.13,%,0.00321,0.02100,0.15308,cADF,2.40,%,0.00490,0.03600,0.13616,cNDF,8.29,%,0.00335,0.03200,0.10465,Fiber,2.11,%,0.00533,0.04000,0.13322,cStarch,71.86,%,0.01205,0.08200,0.14700
1/12/2025,10:34:31,CORN-FINE GROUND,Numero da amostra:4467,Quant,Moi,12.79,%,0.00325,0.02200,0.14773,CP,7.46,%,0.00186,0.02000,0.09297,Fat,3.08,%,0.00234,0.02400,0.09741,Ash,1.22,%,0.00261,0.02100,0.12438,cADF,2.51,%,0.00417,0.03600,0.11588,cNDF,8.24,%,0.00316,0.03200,0.09860,Fiber,2.11,%,0.00464,0.04000,0.11602,cStarch,72.14,%,0.00991,0.08200,0.12080
1/12/2025,10:35:36,CORN-FINE GROUND,Numero da amostra:4468,Quant,Moi,12.51,%,0.00307,0.02200,0.13977,CP,7.62,%,0.00188,0.02000,0.09399,Fat,3.20,%,0.00268,0.02400,0.11172,Ash,1.22,%,0.00283,0.02100,0.13453,cADF,2.82,%,0.00465,0.03600,0.12923,cNDF,9.34,%,0.00309,0.03200,0.09660,Fiber,2.34,%,0.00500,0.04000,0.12500,cStarch,72.09,%,0.01041,0.08200,0.12697
1/12/2025,10:36:41,CORN-FINE GROUND,Numero da amostra:4469,Quant,Moi,13.80,%,0.00269,0.02200,0.12206,CP,7.61,%,0.00183,0.02000,0.09135,Fat,3.15,%,0.00263,0.02400,0.10966,Ash,1.20,%,0.00276,0.02100,0.13143,cADF,2.77,%,0.00414,0.03600,0.11512,cNDF,9.72,%,0.00250,0.03200,0.07821,Fiber,2.55,%,0.00458,0.04000,0.11441,cStarch,71.24,%,0.00984,0.08200,0.12000
1/12/2025,13:55:37,CORN-FINE GROUND,Numero da amostra:4470,Quant,Moi,12.55,%,0.00182,0.02200,0.08289,CP,7.03,%,0.00116,0.02000,0.05787,Fat,2.92,%,0.00183,0.02400,0.07605,Ash,1.15,%,0.00204,0.02100,0.09710,cADF,2.66,%,0.00277,0.03600,0.07696,cNDF,8.75,%,0.00209,0.03200,0.06540,Fiber,2.20,%,0.00358,0.04000,0.08959,cStarch,72.81,%,0.00578,0.08200,0.07051
1/12/2025,13:56:41,CORN-FINE GROUND,Numero da amostra:4471,Quant,Moi,12.89,%,0.00143,0.02200,0.06507,CP,6.79,%,0.00109,0.02000,0.05450,Fat,2.88,%,0.00187,0.02400,0.07776,Ash,1.11,%,0.00207,0.02100,0.09854,cADF,3.10,%,0.00262,0.03600,0.07274,cNDF,10.23,%,0.00195,0.03200,0.06096,Fiber,2.60,%,0.00350,0.04000,0.08741,cStarch,72.80,%,0.00462,0.08200,0.05637
