Date,Customer,Ingredient,Ing,-,Path,BatchID,-,Nutrient,NIR_Value,Unit,-,MDI,Nutrient,NIR_Value,Unit,-,MDI,Nutrient,NIR_Value,Unit,-,MDI,Nutrient,NIR_Value,Unit,-,MDI,Nutrient,NIR_Value,Unit,-,MDI
15/10/2025 06:44:44,JFN,Soybean Hulls,R0016,1924,C:\Users\Public\Documents\Bruker\OPUS_8.5.29\CMET_SPECTRA\Soybean Hulls\2025-10-15\JFN_Soybean Hulls_20251015_064418.0,BatchID=14668,Q2Ext,Moi,25.4075,%,4.47321,709.349,CP,44.1216,%,4.35628,688.396,Fat,62.8825,%,5.11051,706.464,Ash,4.80331,%,1.03595,18.5834,Fiber,0.01,%,10.6429,1044.63
15/10/2025 06:45:06,JFN,Soybean Hulls,R0016,1961,C:\Users\Public\Documents\Bruker\OPUS_8.5.29\CMET_SPECTRA\Soybean Hulls\2025-10-15\JFN_Soybean Hulls_20251015_064453.0,BatchID=14668,Q2Ext,Moi,25.5353,%,4.48063,710.527,CP,44.3526,%,4.36701,690.091,Fat,63.2285,%,5.0777,701.928,Ash,4.67654,%,1.05696,18.9602,Fiber,0.01,%,10.6714,1047.43
15/10/2025 06:45:51,JFN,Soybean Hulls,R0016,1924,C:\Users\Public\Documents\Bruker\OPUS_8.5.29\CMET_SPECTRA\Soybean Hulls\2025-10-15\JFN_Soybean Hulls_20251015_064525.0,BatchID=14668,Q2Ext,Moi,25.1976,%,4.45833,706.99,CP,45.3663,%,4.43654,701.079,Fat,64.8645,%,5.01254,692.921,Ash,3.60251,%,1.14218,20.4888,Fiber,0.01,%,10.9601,1075.76
15/10/2025 06:52:30,JFN,Soybean Hulls,R0016,2386,C:\Users\Public\Documents\Bruker\OPUS_8.5.29\CMET_SPECTRA\Soybean Hulls\2025-10-15\JFN_Soybean Hulls_20251015_065211.0,BatchID=14670,Q2Ext,Moi,10.8187,%,0.00172043,0.272822,CP,46.3731,%,0.00242066,0.382521,Fat,0.853774,%,0.0016163,0.223433,Ash,6.26593,%,0.00208119,0.0373332,Fiber,5.13658,%,0.00225929,0.221756
15/10/2025 06:52:58,JFN,Soybean Hulls,R0016,2331,C:\Users\Public\Documents\Bruker\OPUS_8.5.29\CMET_SPECTRA\Soybean Hulls\2025-10-15\JFN_Soybean Hulls_20251015_065239.0,BatchID=14670,Q2Ext,Moi,10.7819,%,0.00187388,0.297154,CP,46.5922,%,0.00185754,0.293536,Fat,0.892389,%,0.00210309,0.290726,Ash,6.26388,%,0.00244678,0.0438913,Fiber,5.13011,%,0.00197823,0.194169
15/10/2025 06:53:28,JFN,Soybean Hulls,R0016,2400,C:\Users\Public\Documents\Bruker\OPUS_8.5.29\CMET_SPECTRA\Soybean Hulls\2025-10-15\JFN_Soybean Hulls_20251015_065310.0,BatchID=14670,Q2Ext,Moi,10.7738,%,0.00147496,0.233895,CP,46.5104,%,0.0017478,0.276194,Fat,0.844829,%,0.00147648,0.204105,Ash,6.23695,%,0.00254037,0.0455702,Fiber,5.1218,%,0.00183879,0.180482
15/10/2025 06:59:20,JFN,Soybean Hulls,R0016,2390,C:\Users\Public\Documents\Bruker\OPUS_8.5.29\CMET_SPECTRA\Soybean Hulls\2025-10-15\JFN_Soybean Hulls_20251015_065848.0,BatchID=14672,Q2Ext,Moi,10.762,%,0.00159523,0.252967,CP,46.3325,%,0.002278,0.359978,Fat,0.805489,%,0.00164985,0.22807,Ash,6.27297,%,0.00203393,0.0364855,Fiber,5.2295,%,0.00209398,0.205531
15/10/2025 07:00:41,JFN,Soybean Hulls,R0016,2397,C:\Users\Public\Documents\Bruker\OPUS_8.5.29\CMET_SPECTRA\Soybean Hulls\2025-10-15\JFN_Soybean Hulls_20251015_070005.0,BatchID=14672,Q2Ext,Moi,10.7587,%,0.00142554,0.226058,CP,46.1859,%,0.00198383,0.313493,Fat,0.827476,%,0.00147728,0.204216,Ash,6.30926,%,0.00220158,0.0394928,Fiber,5.32214,%,0.00198774,0.195102
15/10/2025 07:01:25,JFN,Soybean Hulls,R0016,1981,C:\Users\Public\Documents\Bruker\OPUS_8.5.29\CMET_SPECTRA\Soybean Hulls\2025-10-15\JFN_Soybean Hulls_20251015_070101.0,BatchID=14672,Q2Ext,Moi,25.5192,%,4.46722,708.399,CP,43.7923,%,4.33565,685.135,Fat,62.9109,%,5.0983,704.775,Ash,4.88717,%,1.05172,18.8662,Fiber,0.01,%,10.7749,1057.59
15/10/2025 07:07:06,JFN,Soybean Hulls,R0016,2339,C:\Users\Public\Documents\Bruker\OPUS_8.5.29\CMET_SPECTRA\Soybean Hulls\2025-10-15\JFN_Soybean Hulls_20251015_070624.0,BatchID=14674,Q2Ext,Moi,10.8173,%,0.00154432,0.244894,CP,46.6748,%,0.00174679,0.276035,Fat,0.834728,%,0.00179929,0.24873,Ash,6.30608,%,0.00189775,0.0340427,Fiber,5.08641,%,0.00166526,0.16345
