Analysis Time,Product Name,Product Code,Sample Type,Sample Number,Sample Comment,Instrument Name,Instrument Serial Number,Crude Protein,T-Statistic Crude Protein,Global H Crude Protein,Neighborhood H Crude Protein,Moisture,T-Statistic Moisture,Global H Moisture,Neighborhood H Moisture,Ether Extract,T-Statistic Ether Extract,Global H Ether Extract,Neighborhood H Ether Extract,Crude Fiber,T-Statistic Crude Fiber,Global H Crude Fiber,Neighborhood H Crude Fiber,Mineral Matter,T-Statistic Mineral Matter,Global H Mineral Matter,Neighborhood H Mineral Matter,Profoss ID,Cup ID,Cup Type
12/23/2024 15:32,Soybean Meal,,Normal,0000024774933,,NIRS DS2500 F,91775216,44.71,-0.82,0.79,0.37,12.82,0.72,1.29,0.5,1.68,-0.08,0.73,0.34,5.32,1,0.79,0.36,6.14,-0.27,1.06,0.43,155768.1,36419,2501
12/23/2024 15:33,Soybean Meal,,Normal,0000024774933,,NIRS DS2500 F,91775216,44.48,-0.93,0.78,0.43,12.62,0.56,1.26,0.63,1.58,-0.14,0.74,0.4,5.43,1.1,0.84,0.5,6.07,-0.4,1.07,0.54,155768,36419,2501
12/23/2024 15:34,Soybean Meal,,Normal,0000024787693,,NIRS DS2500 F,91775216,46.96,0.22,0.76,0.4,12.19,0.2,1.12,0.55,1.75,-0.04,0.69,0.33,3.37,-0.68,0.72,0.32,6.38,0.16,0.93,0.45,157346,36419,2501
12/23/2024 15:36,Soybean Meal,,Normal,0000024787694,,NIRS DS2500 F,91775216,46.9,0.19,0.72,0.29,12.1,0.13,1.08,0.41,1.65,-0.1,0.67,0.23,3.54,-0.53,0.72,0.24,6.31,0.04,0.9,0.32,156600,36419,2501
12/23/2024 15:37,Soybean Meal,,Normal,0000024787692,,NIRS DS2500 F,91775216,47.17,0.32,0.87,0.39,12.34,0.33,1.38,0.49,1.76,-0.03,0.81,0.29,3.27,-0.76,0.91,0.33,6.33,0.06,1.11,0.4,157837,36419,2501
12/28/2024 10:12,Soybean Meal,,Normal,0000024827740,,NIRS DS2500 F,91775216,46.34,-0.07,0.42,0.23,11.66,-0.23,0.67,0.35,1.57,-0.15,0.41,0.19,4.24,0.08,0.37,0.2,6.3,0,0.59,0.25,159963,36419,2501
12/28/2024 10:14,Soybean Meal,,Normal,0000024827751,,NIRS DS2500 F,91775216,45.39,-0.51,0.5,0.24,12.02,0.07,0.84,0.31,1.59,-0.14,0.51,0.23,4.69,0.46,0.5,0.2,6.25,-0.09,0.65,0.27,156222,36419,2501
12/28/2024 10:16,Soybean Meal,,Normal,0000024827751,,NIRS DS2500 F,91775216,45.62,-0.4,0.59,0.24,12.16,0.18,0.96,0.43,1.54,-0.16,0.58,0.25,4.63,0.41,0.57,0.23,6.22,-0.13,0.78,0.29,159222,36419,2501
12/28/2024 10:18,Soybean Meal,,Normal,0000024827752,,NIRS DS2500 F,91775216,47.01,0.24,0.61,0.31,12.42,0.39,0.95,0.47,1.7,-0.07,0.6,0.28,3.5,-0.57,0.59,0.26,6.3,0.01,0.79,0.34,158268,36419,2501
12/28/2024 10:19,Soybean Meal,,Normal,0000024827751,,NIRS DS2500 F,91775216,47.02,0.25,0.63,0.27,12.18,0.2,1.02,0.42,1.69,-0.08,0.59,0.22,3.52,-0.55,0.61,0.21,6.4,0.18,0.83,0.33,159222,36419,2501
12/28/2024 10:21,Soybean Meal,,Normal,0000024827750,,NIRS DS2500 F,91775216,46.64,0.07,0.47,0.23,12.24,0.25,0.83,0.42,1.73,-0.05,0.49,0.21,3.68,-0.41,0.47,0.2,6.27,-0.04,0.7,0.3,159622,36419,2501
12/30/2024 15:20,Soybean Meal,,Normal,0000024842915,,NIRS DS2500 F,91775216,47.06,0.27,0.75,0.3,11.62,-0.27,1.18,0.5,1.49,-0.19,0.71,0.26,3.4,-0.65,0.8,0.26,6.38,0.15,1.02,0.41,160820,36419,2501
12/30/2024 15:21,Soybean Meal,,Normal,0000024843131,,NIRS DS2500 F,91775216,47.47,0.46,1,0.43,12.12,0.14,1.39,0.53,1.63,-0.11,0.91,0.34,3.36,-0.69,1.01,0.37,6.25,-0.09,1.24,0.49,161369,36419,2501
12/30/2024 15:23,Soybean Meal,,Normal,0000024843248,,NIRS DS2500 F,91775216,46.74,0.12,1.08,0.57,12.2,0.21,1.77,0.91,1.74,-0.04,0.97,0.49,3.36,-0.69,1.06,0.5,6.33,0.07,1.27,0.62,160907,36419,2501
12/30/2024 15:25,Soybean Meal,,Normal,0000024846369,,NIRS DS2500 F,91775216,46.66,0.08,0.81,0.42,11.78,-0.14,1.16,0.49,1.58,-0.14,0.73,0.32,3.71,-0.39,0.8,0.34,6.32,0.05,0.98,0.41,161627,36419,2501
12/30/2024 15:26,Soybean Meal,,Normal,0000024846367,,NIRS DS2500 F,91775216,46.37,-0.05,0.94,0.41,12.2,0.21,1.5,0.6,1.63,-0.11,0.88,0.32,3.57,-0.51,0.92,0.33,6.31,0.02,1.18,0.45,162239,36419,2501
12/30/2024 15:45,Soybean Meal,,Normal,0000024843132,,NIRS DS2500 F,91775216,46.92,0.2,0.66,0.3,11.81,-0.11,1.03,0.44,1.68,-0.08,0.63,0.23,3.86,-0.25,0.59,0.25,6.18,-0.2,0.88,0.34,160989,36419,2501
