Instrument Name,Serial Number,Sample Number,Analyzed,Type,Product Code,Product Name,Ether Extract,Ether Extract GlobalH,Ether Extract NeighborhoodH,Ether Extract Batch Average,Crude Fiber,Crude Fiber GlobalH,Crude Fiber NeighborhoodH,Crude Fiber Batch Average,Mineral Matter,Mineral Matter GlobalH,Mineral Matter NeighborhoodH,Mineral Matter Batch Average,Crude Protein,Crude Protein GlobalH,Crude Protein NeighborhoodH,Crude Protein Batch Average,Moisture,Moisture GlobalH,Moisture NeighborhoodH,Moisture Batch Average,,,,,,,,,,
Corn - Whole,91930090,694788,2025-12-17T23:59:21,Normal,R0766,Corn - Whole,3.480221548,1.966436028,0.840773761,3.480221548,2.037083202,2.043135166,0.845013201,2.037083202,1.106745941,2.010830164,0.913466036,1.106745941,7.940546413,1.902264714,0.816479087,7.940546413,11.68423167,1.97330749,0.850451589,11.68423167,,,,,,,,,,
Corn - Whole,91930090,694789,2025-12-17T23:59:24,Normal,R0766,Corn - Whole,3.669045248,1.411095858,0.545204401,3.574633398,3.574633398,2.01325112,1.429998517,0.516647637,2.025167161,2.025167161,1.130241138,1.41498363,0.551885784,1.11849354,1.11849354,7.953573128,1.322319865,0.489017755,7.947059771,7.947059771,11.76848022,1.391447544,0.559888124,11.72635595,11.72635595,,,,,
Corn - Whole,91930090,694790,2025-12-17T23:59:30,Normal,R0766,Corn - Whole,3.492745199,1.846468925,0.740368426,3.547337332,3.547337332,2.042781287,1.92802465,0.727441847,2.031038536,2.031038536,1.108187539,1.862194061,0.766185999,1.115058206,1.115058206,7.980060478,1.771233916,0.694707334,7.958060006,7.958060006,11.76961509,1.848560929,0.752349138,11.74077566,11.74077566,,,,,
Corn - Whole,91930090,694791,2025-12-17T23:59:35,Normal,R0766,Corn - Whole,3.517566957,1.651881337,0.682149172,3.539894738,3.539894738,2.028320008,1.730080009,0.658456028,2.030358904,2.030358904,1.110959155,1.667890191,0.693834782,1.114033443,1.114033443,8.043922325,1.60502398,0.650606632,7.979525586,7.979525586,11.65846721,1.644574523,0.684106648,11.72019855,11.72019855,,,,,
Corn - Whole,91930090,694792,2025-12-17T23:59:40,Normal,R0766,Corn - Whole,3.518266001,1.596625328,0.642174542,3.535568991,3.535568991,2.012019211,1.653839827,0.624519467,2.026690966,2.026690966,1.108934624,1.626274109,0.688682675,1.11301368,1.11301368,8.006303688,1.539772153,0.609181941,7.984881207,7.984881207,11.66181842,1.594243526,0.648325026,11.70852252,11.70852252,,,,,
Corn - Whole,91930090,694793,2025-12-17T23:59:46,Normal,R0766,Corn - Whole,3.454594412,1.8309865,0.763809443,3.530443563,3.522073228,2.040952497,1.90598917,0.72804445,2.027464825,2.029067888,1.10006581,1.833938837,0.761313558,1.111677653,1.110855701,8.001244446,1.752136588,0.702651739,7.997020813,7.987608413,11.70848933,1.820948839,0.766379595,11.71337405,11.70851699,,,,,
Corn - Whole,91930090,694794,2025-12-17T23:59:51,Normal,R0766,Corn - Whole,3.462591925,1.703990459,0.704357386,3.489152899,3.513575899,2.025969797,1.787921548,0.724514246,2.03000856,2.028625303,1.102721674,1.732574701,0.719741166,1.10617376,1.109693697,7.986947914,1.663618445,0.71312952,8.00369577,7.987514056,11.71968166,1.704710722,0.742696762,11.70361434,11.71011194,,,,,
Corn - Whole,91930090,694795,2025-12-17T23:59:57,Normal,R0766,Corn - Whole,3.550381937,1.649074316,0.651867449,3.500680246,3.518176653,2.04039889,1.721726298,0.62064898,2.029532081,2.030097002,1.116600258,1.682343483,0.681113422,1.107856304,1.110557017,7.98676767,1.604567885,0.616125703,8.005037209,7.987420758,11.67169849,1.640592456,0.646457255,11.68403102,11.70531026,,,,,
Corn - Whole,91930090,694796,2025-12-18T00:00:03,Normal,R0766,Corn - Whole,3.622746267,1.366633296,0.481242776,3.521716108,3.529795499,2.049319798,1.424512744,0.465005755,2.033732038,2.032232868,1.12415312,1.372352719,0.515159249,1.110495097,1.112067696,7.912821671,1.292457342,0.452732205,7.978817078,7.97913197,11.8939313,1.331313014,0.476523876,11.73112384,11.72626815,,,,,
Soybean Meal,91930089,446057,2025-12-18T00:00:30,Normal,R0038,Soybean Meal,5.003510826,2.037004232,1.161778569,5.003510826,1.604814232,2.326718807,1.186641335,1.604814232,6.509540874,2.012691498,1.099771976,6.509540874,45.30945197,1.860910296,0.968076885,45.30945197,12.06182672,2.349916935,1.191837072,12.06182672,,,,,,,,,,
